Ref,Val,Package,PosX,PosY,Rot,Side
"J1","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",2.540000,8.255000,0.000000,top
"J2","Conn_01x05","PinHeader_1x05_P2.54mm_Vertical",22.860000,3.175000,180.000000,top
"M750","Module-vr-discrete-0.5","vr-discrete",4.930000,3.175000,0.000000,top
